TransactionAmount,TransactionType,Location,IP Address,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Amount_Bin,Target
14.09,1,36,184,0,70.0,0,81.0,1.0,5112.21,105,1,2
376.24,1,15,81,0,68.0,0,141.0,1.0,13758.91,192,2,2
126.29,1,23,338,2,19.0,3,56.0,1.0,1122.35,41,1,1
184.5,1,33,297,2,26.0,3,25.0,1.0,8569.06,163,1,1
92.15,1,28,59,0,18.0,3,172.0,1.0,781.68,13,1,1
7.08,0,39,111,0,37.0,0,139.0,1.0,13316.71,226,1,2
171.42,0,16,564,1,67.0,2,291.0,1.0,2796.24,271,1,3
106.23,0,11,364,1,51.0,1,86.0,1.0,9095.14,290,1,3
815.96,1,26,387,0,55.0,0,120.0,1.0,1021.88,9,0,0
17.78,0,0,332,2,52.0,1,59.0,1.0,7599.52,22,1,3
190.02,1,22,55,2,21.0,3,173.0,1.0,1528.81,49,1,1
494.52,0,23,328,1,24.0,3,111.0,1.0,1620.02,135,2,1
781.76,1,22,275,0,26.0,3,123.0,1.0,189.69,43,0,1
166.99,1,21,249,2,18.0,3,134.0,1.0,299.93,226,1,1
465.45,1,10,355,0,36.0,1,129.0,1.0,3465.54,355,2,0
555.8,0,2,457,1,19.0,3,158.0,1.0,1131.26,72,2,1
492.93,1,8,48,2,39.0,1,234.0,1.0,5109.97,327,2,3
18.68,0,0,572,1,59.0,2,106.0,1.0,7948.37,337,1,3
71.48,0,8,69,2,18.0,3,169.0,1.0,6568.59,177,1,3
59.32,1,20,58,1,71.0,2,38.0,1.0,5750.89,181,1,0
85.77,1,19,471,1,38.0,0,93.0,1.0,9146.19,110,1,2
345.84,1,13,266,2,22.0,3,142.0,3.0,1402.5,41,2,1
145.54,1,33,62,2,21.0,3,96.0,1.0,1930.96,46,1,1
7.49,0,15,536,2,65.0,2,276.0,1.0,3634.67,201,1,3
246.93,1,24,460,0,23.0,3,158.0,5.0,673.35,314,1,1
40.32,1,25,323,1,37.0,1,95.0,1.0,2686.52,335,1,0
127.45,1,19,149,2,44.0,0,197.0,1.0,1772.06,298,1,3
56.17,1,11,390,1,27.0,3,283.0,1.0,1351.69,127,1,1
28.31,0,24,397,2,59.0,0,20.0,1.0,8334.47,174,1,3
59.12,1,3,246,0,29.0,0,257.0,1.0,9823.64,35,1,0
396.45,1,27,91,0,49.0,1,168.0,3.0,9690.15,289,2,2
877.81,1,20,92,2,22.0,3,150.0,1.0,399.0,87,0,1
255.26,0,37,564,1,45.0,0,50.0,1.0,14815.87,267,1,2
124.76,1,39,472,1,49.0,1,45.0,1.0,5764.72,0,1,0
78.13,1,25,390,1,26.0,3,145.0,1.0,900.61,354,1,1
795.31,1,23,443,0,66.0,0,90.0,2.0,7914.88,293,0,2
335.63,1,28,442,2,55.0,2,216.0,1.0,1019.39,69,2,3
328.47,1,35,475,0,63.0,2,119.0,1.0,4323.66,68,2,0
34.02,1,30,25,2,38.0,0,19.0,1.0,14214.48,321,1,2
241.42,0,5,481,2,57.0,0,116.0,1.0,13357.02,160,1,3
55.32,1,40,217,0,19.0,3,117.0,1.0,241.79,100,1,1
304.31,1,21,516,1,27.0,3,33.0,1.0,868.61,210,2,1
164.49,1,3,42,1,26.0,3,75.0,1.0,1509.27,250,1,1
510.24,1,28,243,2,19.0,3,105.0,1.0,781.7,311,2,1
626.9,1,10,567,2,26.0,3,138.0,1.0,265.51,61,0,1
425.34,0,18,108,2,69.0,2,121.0,1.0,3907.54,44,2,3
85.43,1,41,276,1,67.0,0,145.0,1.0,14904.9,22,1,2
169.5,1,36,421,1,28.0,3,142.0,1.0,918.88,155,1,1
104.63,1,29,243,0,62.0,2,90.0,1.0,4477.78,258,1,0
316.95,1,23,533,1,25.0,3,83.0,1.0,1324.03,172,2,1
60.54,0,8,0,1,57.0,2,52.0,1.0,3534.93,214,1,3
292.56,0,9,291,1,68.0,2,61.0,1.0,4638.37,86,1,3
386.52,1,16,244,1,48.0,1,28.0,1.0,5630.61,46,2,0
112.07,1,18,288,1,23.0,3,51.0,1.0,930.3,313,1,1
263.99,1,9,504,1,79.0,2,227.0,2.0,4175.02,279,1,0
349.64,1,19,559,2,48.0,1,226.0,1.0,6651.62,106,2,3
601.4,0,30,76,1,56.0,1,104.0,1.0,8458.29,98,2,3
5.77,1,5,154,2,50.0,0,124.0,1.0,13988.12,308,1,2
201.33,0,26,125,1,42.0,1,186.0,1.0,2585.07,317,1,3
298.42,1,16,564,1,56.0,2,225.0,1.0,3014.75,229,1,0
521.06,1,0,87,1,25.0,3,128.0,1.0,1951.42,346,2,1
117.28,0,2,433,2,60.0,1,16.0,1.0,3665.77,48,1,3
133.55,1,1,415,0,44.0,1,220.0,1.0,3846.28,235,1,0
143.21,1,9,494,2,35.0,1,135.0,1.0,6374.82,183,1,0
24.77,1,4,559,0,62.0,2,55.0,1.0,5866.01,351,1,0
233.92,0,17,148,2,26.0,3,280.0,1.0,6537.62,142,1,3
91.53,1,25,575,1,44.0,0,69.0,1.0,14676.05,312,1,2
120.29,1,24,184,1,19.0,3,77.0,1.0,1362.39,27,1,1
174.25,1,39,86,2,50.0,0,67.0,1.0,10528.34,246,1,2
183.71,1,10,549,0,38.0,1,102.0,1.0,552.52,208,1,0
259.91,1,10,399,2,49.0,0,170.0,1.0,7176.86,195,1,2
154.71,1,36,198,2,34.0,0,157.0,1.0,1523.72,199,1,3
24.56,1,23,169,1,64.0,0,69.0,1.0,9869.93,341,1,2
9.61,0,36,88,2,58.0,0,179.0,1.0,12883.91,167,1,3
392.96,1,18,244,2,24.0,3,100.0,1.0,791.65,135,2,1
716.93,0,25,12,2,60.0,2,34.0,1.0,4064.02,109,0,3
223.85,1,18,89,0,53.0,1,55.0,4.0,2929.91,98,1,0
230.66,1,15,480,1,21.0,3,135.0,1.0,618.05,260,1,1
644.17,1,35,194,0,29.0,1,72.0,1.0,1143.52,101,0,0
508.68,0,23,270,1,51.0,1,127.0,1.0,7708.41,189,2,3
858.63,0,37,223,1,27.0,3,185.0,1.0,1872.96,263,0,1
25.36,1,21,483,0,57.0,1,78.0,1.0,201.04,281,1,0
147.62,1,5,142,1,71.0,2,133.0,1.0,2115.8,59,1,0
115.02,1,35,93,1,37.0,0,175.0,1.0,7643.66,135,1,2
383.37,1,13,230,1,30.0,1,24.0,1.0,8901.93,283,2,0
196.16,1,41,312,1,27.0,1,146.0,1.0,9418.86,129,1,0
129.94,1,19,36,0,32.0,1,235.0,1.0,7954.92,12,1,0
306.9,1,7,577,2,46.0,1,51.0,1.0,9418.08,264,2,3
114.98,1,39,50,2,59.0,2,80.0,1.0,6144.68,181,1,3
756.59,1,34,220,1,27.0,3,17.0,1.0,420.65,316,0,1
503.76,1,20,339,2,22.0,3,35.0,1.0,447.82,179,2,1
143.03,1,35,284,0,63.0,2,147.0,1.0,7981.45,258,1,0
254.37,0,9,120,2,51.0,1,174.0,1.0,8849.26,33,1,3
213.76,0,9,450,0,78.0,2,282.0,1.0,3528.72,193,1,0
327.86,1,14,249,2,40.0,1,104.0,1.0,480.16,7,2,3
2.5,1,36,427,2,47.0,0,107.0,1.0,12145.27,210,1,2
300.08,0,2,548,2,68.0,0,47.0,1.0,13546.75,354,1,2
56.98,0,28,13,0,43.0,1,122.0,2.0,5688.37,79,1,3
115.83,1,14,75,1,39.0,1,167.0,1.0,6481.04,219,1,0
53.57,1,15,432,0,69.0,2,121.0,1.0,1651.33,140,1,0
63.34,0,11,502,2,46.0,0,165.0,1.0,11174.94,230,1,3
331.65,1,32,369,2,41.0,1,61.0,1.0,4172.57,276,2,3
5.04,1,42,487,0,56.0,2,41.0,1.0,5558.36,264,1,0
214.54,0,11,280,2,70.0,0,247.0,1.0,11151.53,332,1,3
